"측정항목 코드","측정항목 명(줄임 명칭)","통신기호","측정단위","화면 정렬 순서","사용여부","메인화면 표시","소수점 자리 수","범례-파랑","범례-녹색","범례-노랑","범례-빨강"
"1","SO2","SO2","ppm","10","Y","Y","4","0.020","0.050","0.150","1.000"
"3","NO2","NO2","ppm","6","Y","Y","4","0.030","0.060","0.200","2.000"
"5","CO","COb","ppm","8","Y","Y","2","2.000","9.000","15.000","50.000"
"6","O3","O3b","ppm","9","Y","Y","4","0.030","0.090","0.150","0.500"
"8","PM10","PMb","㎍/㎥","2","Y","Y","0","30.000","80.000","150.000","600.000"
"9","PM2.5","PM2","㎍/㎥","1","Y","Y","0","15.000","35.000","75.000","500.000"
