Date,Close,High,Low,Open,Volume
2024-01-02,90.1613998413086,92.35599667696899,90.11327709812458,91.87472518340766,8859700
2024-01-03,89.73787689208984,90.71003992386764,89.57423901959129,90.44052908956807,7161700
2024-01-04,90.04588317871094,91.03730110205903,89.51648169361299,89.61273450628019,7118600
2024-01-05,89.50685119628906,90.07475525606094,89.015959665125,89.83411956068375,7189900
2024-01-08,90.66191101074219,91.0276746404346,89.46835262067837,89.53573032466431,7536900
2024-01-09,89.60310363769531,90.21913777145988,89.38172291128399,90.10362999445054,6348500
2024-01-10,89.99775695800781,90.18064245044746,89.40097774410206,89.5261130151899,5847700
2024-01-11,89.45872497558594,90.13250195892556,88.45767964061112,89.83411605824921,6483600
2024-01-12,88.5346908569336,89.90149988407751,88.3325504045359,89.73786936891638,5638700
2024-01-16,89.22772979736328,89.25661225491504,88.29406929121697,89.18923454120097,7493400
2024-01-17,88.33255767822266,88.51544317706166,87.97642150926602,88.22668471657947,6672900
2024-01-18,89.84374237060547,89.93037504219706,88.3806805304326,88.5154359363583,7549500
2024-01-19,90.34427642822266,90.71004008346998,89.16997292503457,89.68974696793516,9556100
2024-01-22,89.5838623046875,90.40202225434412,89.33359910873425,90.28652181284194,9421000
2024-01-23,88.52505493164062,90.14212699130023,88.33254198190845,89.54534786255769,10227100
2024-01-24,88.59244537353516,89.36247525239015,88.54431529327333,89.08334428645294,7661400
2024-01-25,89.1410903930664,89.17959298677474,88.28442787800799,88.76569928393378,11991500
2024-01-26,89.32398223876953,89.98813183258585,88.94859110290223,89.43948268450139,9229400
2024-01-29,90.28651428222656,90.41164219795697,88.78494257536923,89.53572475698864,12728100
2024-01-30,90.5560302734375,91.13355449674796,89.12183618414684,89.51648226530733,17625200
2024-01-31,89.54535675048828,94.67571170808462,89.53572926614154,94.5987065205485,26751800
2024-02-01,89.87262725830078,90.09400799819667,88.42881300402321,89.61273658010414,15001500
2024-02-02,89.50685119628906,90.10363036452722,88.2362950184422,89.21809276800761,11365900
2024-02-05,89.04483795166016,89.3913539528602,88.45768624649448,89.30472128075074,7335800
2024-02-06,92.08647918701172,92.11535429956768,88.89083699353716,89.03521989993666,11531500
2024-02-07,91.73995208740234,93.03939074469625,90.8929170655414,92.63511718679966,9078000
2024-02-08,93.53137969970703,93.62821901221189,90.95561504116786,92.08856407457266,9888100
2024-02-09,94.2188949584961,94.8870403508478,93.24087561423426,93.26992445027541,9385600
2024-02-12,92.44683837890625,94.06395421470324,92.35968448647218,93.85091957519919,9224400
2024-02-13,90.89751434326172,92.53399376341883,90.43271077721225,91.84647751673474,8138500
2024-02-14,91.09117126464844,91.47850630895758,90.79099011451456,91.10085667240158,5510600
2024-02-15,90.26809692382812,91.25579435605954,90.05506226116198,91.05244510200608,8878000
2024-02-16,90.26809692382812,91.19769667998774,89.81297876045994,90.15189418388238,5734200
2024-02-20,90.50049591064453,91.13959990496143,90.1228462368399,90.40366398696682,8844500
2024-02-21,92.0110855102539,92.73733594774775,90.80066811443083,90.88782200858688,8286300
2024-02-22,92.74703216552734,93.03753532950475,91.15896494813616,91.88521547027733,8124700
2024-02-23,92.59209442138672,93.8606095244302,92.55336017707525,92.84385592770873,6845200
